time,max_spot_return,min_spot_return,max_futures_return,min_futures_return
2025-05-27T12:02:39.085000Z,11.518084664308148,-8.070560189019638,12.682163662538493,-1.9614064500883543
2025-05-27T12:02:39.092000Z,0,0,0.9210965661132775,-3.570050767187638
2025-05-27T12:02:47.144000Z,0,-2.2946305745463746,0.34427160738204066,-0.2295209897029693
2025-05-27T12:02:50.785000Z,0,-1.1404459155883728,0,0
2025-05-27T12:02:52.436000Z,0,0,0,0
2025-05-27T12:02:52.647000Z,0,0,0,0
2025-05-27T12:02:52.982000Z,2.294367338273595,0,0.2295130879925722,0
2025-05-27T12:02:53.028000Z,1.14672323960896,0,0,-0.6884602588996813
2025-05-27T12:03:10.575000Z,0,0,0,0
2025-05-27T12:03:13.028000Z,2.2859755500137524,-10.2933616911427,0.5720921985341576,-3.8910951634818502
2025-05-27T12:04:48.318000Z,0,0,0.4579436043261609,0
2025-05-27T12:04:54.959000Z,0,0,0,0
2025-05-27T12:04:54.961999Z,14.866490244500596,1.144361161631302,10.405768707366647,-0.4576449591242593
2025-05-27T12:04:56.009000Z,0,0,2.962625363513993,0
2025-05-27T12:04:56.009999Z,18.211054515981928,2.595902204305389e-4,20.14483610984996,-2.962612376755658
2025-05-27T12:04:56.019999Z,3.4108351191930453,1.137074309029984,15.349197180838381,8.984982037398836
2025-05-27T12:04:56.068000Z,0,0,0,0
2025-05-27T12:04:56.072999Z,2.267059633376256,-1.1337225793006667,2.94858130013953,-0.5671345528268645
2025-05-27T12:04:56.082000Z,0,0,-0.45320643560664564,-1.586312393562217
2025-05-27T12:04:56.144000Z,0,0,0,0
2025-05-27T12:04:56.219000Z,0,0,0,0
2025-05-27T12:04:56.348000Z,0,0,0,0
2025-05-27T12:04:56.673000Z,0,0,0,-1.5771804552455748
2025-05-27T12:04:56.805000Z,3.384285666010456,0,2.3706714191096268,0
2025-05-27T12:04:56.877000Z,1.1297520206365874,-2.259887015267914,0.678249663961239,-0.9044044502903859
2025-05-27T12:04:56.884000Z,0,-3.388745612546984,0,-11.986776270780375
2025-05-27T12:04:56.890000Z,3.3909160680112294,-2.2603980128854673,2.600118715716526,-1.8094812469104937
2025-05-27T12:04:56.900000Z,0,-2.261420181501883,1.8091565987443659,-4.298059153167166
2025-05-27T12:04:57.052000Z,1.1312857074097238,0,0,-0.11325092441616391
2025-05-27T12:04:57.075000Z,0,0,0,-0.6794324476855351
2025-05-27T12:04:57.246000Z,2.2675737058630574,0,2.8357371121456865,0
2025-05-27T12:04:57.365000Z,0,-4.542357561638788,0,0
2025-05-27T12:04:58.025000Z,12.483687713276126,-2.2714366934728503,12.369567904730872,-14.317858858334809
2025-05-27T12:04:58.030999Z,0,-2.267316640480743,4.650239684562685,-4.084921024927191
2025-05-27T12:04:58.042999Z,1.1334655721961795,0,1.1342601009234343,-0.3403038914084888
2025-05-27T12:04:58.051000Z,-6.803492721894067,-7.937858329141179,-6.126755961011199,-7.375259177528903
2025-05-27T12:04:58.071000Z,0,-3.4030968509446424,1.5892836904818353,0
2025-05-27T12:04:58.098000Z,0,0,0,0
2025-05-27T12:04:58.285000Z,0,0,0,0
2025-05-27T12:04:59.023000Z,44.34597067866086,-1.1396660790685686,29.954525463913306,-71.68896692404836
2025-05-27T12:04:59.029999Z,29.445643235463947,-10.218564613273529,29.67092389897008,-0.3402537158869734
2025-05-27T12:04:59.039999Z,4.521817847793486,-15.842483793311324,9.400572654794104,-0.45326292656966416
2025-05-27T12:04:59.049999Z,3.3950093688872585,-12.458238204580141,-3.172013802195117,-10.645740590851105
2025-05-27T12:04:59.063999Z,0,0,0.45314995872569597,0.45314995872569597
2025-05-27T12:04:59.072000Z,13.562389058976443,-4.524886955032947,14.242440351197594,-13.130045917248978
2025-05-27T12:04:59.082000Z,2.256826910955745,-3.3861956415881522,6.206099101846441,-3.3867690547229046
2025-05-27T12:04:59.092000Z,1.1283497896297234,-18.073101865865304,6.3262541648967385,-2.938573409383416
2025-05-27T12:04:59.128000Z,0,-2.2570816030853535,0,0
2025-05-27T12:04:59.130000Z,3.3859408344572017,-4.51696671770474,-0.22585854480450251,-9.831640642397055
2025-05-27T12:04:59.140000Z,-5.646846386424542,-9.036485422329044,0.11306525561138869,-2.1484827836504294
2025-05-27T12:04:59.171000Z,0,0,0.9058483842450116,-0.22647491791261132
2025-05-27T12:04:59.197000Z,0,-5.664759682439957,1.1333499570120864,-1.700265812316637
2025-05-27T12:04:59.276000Z,0,0,1.475420071792577,0
2025-05-27T12:04:59.358000Z,4.548038736724713,0,1.2514291906517983,0
2025-05-27T12:04:59.482000Z,0,0,0,0
2025-05-27T12:04:59.545000Z,0,0,0,0
2025-05-27T12:04:59.944000Z,2.2763487464594334,-1.138368718853755,2.505495019202719,-0.911244760972707
2025-05-27T12:05:00.697000Z,0,0,0.5697973232487996,0
2025-05-27T12:05:01.877000Z,0,0,0,0
2025-05-27T12:05:03.571000Z,0,-1.1326952495549492,0,0
2025-05-27T12:05:03.700000Z,0,-1.1325669642303637,0.11330353450134112,-0.22661092039300001
